Symbol,Date,Open,High,Low,Close,Volume
WESTLIFE,2019-08-20 00:00:00+05:30,279.8,291.0,270.1,289.75,45762
WESTLIFE,2019-08-21 00:00:00+05:30,280.5,290.1,280.5,285.25,14604
WESTLIFE,2019-08-22 00:00:00+05:30,289.95,290.0,272.1,277.95,24546
WESTLIFE,2019-08-23 00:00:00+05:30,274.0,284.9,264.55,281.05,6845
WESTLIFE,2019-08-26 00:00:00+05:30,285.0,290.2,276.0,286.9,118873
WESTLIFE,2019-08-27 00:00:00+05:30,288.75,289.95,280.85,286.65,97492
WESTLIFE,2019-08-28 00:00:00+05:30,288.0,288.0,281.0,281.85,6917
WESTLIFE,2019-08-29 00:00:00+05:30,281.85,286.6,278.1,280.0,39517
WESTLIFE,2019-08-30 00:00:00+05:30,286.75,286.8,279.0,280.05,14876
WESTLIFE,2019-09-03 00:00:00+05:30,274.0,285.95,274.0,283.7,2848
WESTLIFE,2019-09-04 00:00:00+05:30,284.9,284.9,273.0,276.6,10302
WESTLIFE,2019-09-05 00:00:00+05:30,279.9,284.35,261.45,276.75,11358
WESTLIFE,2019-09-06 00:00:00+05:30,280.9,286.3,278.6,285.4,4345
WESTLIFE,2019-09-09 00:00:00+05:30,286.95,290.05,280.65,289.8,20474
WESTLIFE,2019-09-11 00:00:00+05:30,290.0,290.0,283.0,284.05,20564
WESTLIFE,2019-09-12 00:00:00+05:30,285.3,286.05,280.05,281.75,214530
WESTLIFE,2019-09-13 00:00:00+05:30,283.45,285.5,278.15,283.55,63725
WESTLIFE,2019-09-16 00:00:00+05:30,283.8,290.0,280.1,282.5,184641
WESTLIFE,2019-09-17 00:00:00+05:30,282.8,282.8,275.0,279.65,68653
WESTLIFE,2019-09-18 00:00:00+05:30,280.0,280.0,275.2,276.55,6950
WESTLIFE,2019-09-19 00:00:00+05:30,273.25,279.55,270.0,273.15,12554
WESTLIFE,2019-09-20 00:00:00+05:30,274.15,315.15,270.0,310.05,436618
WESTLIFE,2019-09-23 00:00:00+05:30,324.9,331.9,307.7,320.8,95875
WESTLIFE,2019-09-24 00:00:00+05:30,321.55,324.95,310.55,320.75,109241
WESTLIFE,2019-09-25 00:00:00+05:30,317.6,321.95,311.0,317.15,15805
WESTLIFE,2019-09-26 00:00:00+05:30,317.1,319.0,307.0,311.1,12490
WESTLIFE,2019-09-27 00:00:00+05:30,313.0,315.0,292.2,299.95,11757
WESTLIFE,2019-09-30 00:00:00+05:30,302.15,302.5,293.6,294.85,30791
WESTLIFE,2019-10-01 00:00:00+05:30,305.0,305.0,286.05,287.9,17953
WESTLIFE,2019-10-03 00:00:00+05:30,296.2,296.25,282.0,286.35,37395
WESTLIFE,2019-10-04 00:00:00+05:30,289.35,310.0,283.95,300.0,426152
WESTLIFE,2019-10-07 00:00:00+05:30,300.0,330.9,295.65,322.95,208803
WESTLIFE,2019-10-09 00:00:00+05:30,311.5,324.0,311.1,317.3,137131
WESTLIFE,2019-10-10 00:00:00+05:30,312.15,319.9,309.3,315.0,117843
WESTLIFE,2019-10-11 00:00:00+05:30,319.35,320.0,308.95,317.55,157002
WESTLIFE,2019-10-14 00:00:00+05:30,324.9,336.3,317.9,320.95,22804
WESTLIFE,2019-10-15 00:00:00+05:30,320.05,323.9,317.95,320.35,10811
WESTLIFE,2019-10-16 00:00:00+05:30,318.25,323.55,316.95,319.45,13484
WESTLIFE,2019-10-17 00:00:00+05:30,316.15,330.0,315.25,324.3,52033
WESTLIFE,2019-10-18 00:00:00+05:30,324.0,342.0,324.0,331.25,20400
WESTLIFE,2019-10-22 00:00:00+05:30,340.0,347.7,325.15,344.35,26812
WESTLIFE,2019-10-23 00:00:00+05:30,365.0,365.0,337.1,340.95,158021
WESTLIFE,2019-10-24 00:00:00+05:30,345.2,355.0,340.0,347.85,23038
WESTLIFE,2019-10-25 00:00:00+05:30,356.8,377.0,355.0,366.3,252888
WESTLIFE,2019-10-27 00:00:00+05:30,369.2,373.0,355.55,362.35,20548
WESTLIFE,2019-10-29 00:00:00+05:30,361.0,361.0,347.6,354.7,36391
WESTLIFE,2019-10-30 00:00:00+05:30,355.0,358.0,347.0,347.95,20078
WESTLIFE,2019-10-31 00:00:00+05:30,351.0,363.0,344.0,350.7,46110
WESTLIFE,2019-11-01 00:00:00+05:30,352.9,357.15,347.05,348.8,11039
WESTLIFE,2019-11-04 00:00:00+05:30,350.0,360.0,348.15,351.0,20821
WESTLIFE,2019-11-05 00:00:00+05:30,352.0,355.0,348.8,350.2,9180
WESTLIFE,2019-11-06 00:00:00+05:30,354.05,400.0,348.8,391.1,159074
WESTLIFE,2019-11-07 00:00:00+05:30,400.0,400.0,372.1,382.1,69567
WESTLIFE,2019-11-08 00:00:00+05:30,376.65,403.8,373.0,385.25,123212
WESTLIFE,2019-11-11 00:00:00+05:30,380.2,392.0,362.95,369.95,48225
WESTLIFE,2019-11-13 00:00:00+05:30,375.0,375.0,348.5,350.45,54407
WESTLIFE,2019-11-14 00:00:00+05:30,354.1,364.9,351.5,353.7,22288
WESTLIFE,2019-11-15 00:00:00+05:30,356.0,365.85,347.5,350.95,19558
WESTLIFE,2019-11-18 00:00:00+05:30,355.0,379.1,349.55,371.1,81216
WESTLIFE,2019-11-19 00:00:00+05:30,370.0,373.0,369.1,371.05,13215
WESTLIFE,2019-11-20 00:00:00+05:30,362.25,369.75,356.1,357.55,20053
WESTLIFE,2019-11-21 00:00:00+05:30,359.0,359.0,345.2,348.3,40979
WESTLIFE,2019-11-22 00:00:00+05:30,349.0,352.0,335.0,340.15,143055
WESTLIFE,2019-11-25 00:00:00+05:30,366.0,369.8,339.85,363.8,60460
WESTLIFE,2019-11-26 00:00:00+05:30,367.9,385.0,354.45,376.95,88321
WESTLIFE,2019-11-27 00:00:00+05:30,381.0,381.0,363.55,369.8,52266
WESTLIFE,2019-11-28 00:00:00+05:30,369.7,375.0,368.2,371.2,27926
WESTLIFE,2019-11-29 00:00:00+05:30,370.8,385.0,363.5,377.85,51462
WESTLIFE,2019-12-02 00:00:00+05:30,384.8,389.85,370.0,371.05,21627
WESTLIFE,2019-12-03 00:00:00+05:30,371.0,377.15,361.7,370.3,25112
WESTLIFE,2019-12-04 00:00:00+05:30,369.0,369.0,354.65,358.25,45712
WESTLIFE,2019-12-05 00:00:00+05:30,362.5,366.25,352.2,353.95,14886
WESTLIFE,2019-12-06 00:00:00+05:30,355.75,367.15,351.1,355.15,66076
WESTLIFE,2019-12-09 00:00:00+05:30,358.95,358.95,350.1,352.45,11547
WESTLIFE,2019-12-10 00:00:00+05:30,351.45,356.9,346.0,348.05,26057
WESTLIFE,2019-12-11 00:00:00+05:30,348.4,349.95,341.5,343.5,9689
WESTLIFE,2019-12-12 00:00:00+05:30,346.75,353.9,346.15,350.65,24591
WESTLIFE,2019-12-13 00:00:00+05:30,351.15,356.0,341.6,347.25,27118
WESTLIFE,2019-12-16 00:00:00+05:30,352.95,353.0,345.0,346.3,10871
WESTLIFE,2019-12-17 00:00:00+05:30,346.8,351.45,346.2,349.05,56767
WESTLIFE,2019-12-18 00:00:00+05:30,353.25,362.0,348.15,353.05,85073
WESTLIFE,2019-12-19 00:00:00+05:30,354.05,357.15,347.05,348.1,10849
WESTLIFE,2019-12-20 00:00:00+05:30,350.95,357.45,345.9,347.5,33809
WESTLIFE,2019-12-23 00:00:00+05:30,349.95,350.0,342.95,345.55,10503
WESTLIFE,2019-12-24 00:00:00+05:30,349.55,349.55,338.0,340.05,16359
WESTLIFE,2019-12-26 00:00:00+05:30,344.8,350.0,338.75,342.45,545603
WESTLIFE,2019-12-27 00:00:00+05:30,346.0,346.05,340.0,341.9,325121
WESTLIFE,2019-12-30 00:00:00+05:30,345.8,351.25,341.0,346.2,46782
WESTLIFE,2019-12-31 00:00:00+05:30,346.05,349.0,342.05,343.2,68443
WESTLIFE,2020-01-01 00:00:00+05:30,346.45,346.7,341.75,344.75,17090
WESTLIFE,2020-01-02 00:00:00+05:30,349.0,372.0,342.55,365.7,145132
WESTLIFE,2020-01-03 00:00:00+05:30,366.0,368.0,355.75,360.15,30860
